Monster 1
Animated broom
Bloodseeker
Bobcat
Donkey
Fire beetle
Giant Centipede
Giant rat
Goblin warrior
Guard dog
Halfling footpad
Homunculus
Kobold warrior
Orc brute
Ox
Pig
Riding pony
Skeleton guard
Spider swarm
Unseen servant
Viper
Zombie shambler
Air mephit
Animated bureau
Ball python
Bat swarm
Boggard scout
Camel
Drow fighter
Earth mephit
Electric eel
Fire mephit
Ghoul
Goblin commando
Goblin dog
Goblin pyro
Goblin war chanter
Hobgoblin soldier
Hunting spider
Hyena
Imp
Kobold scout
Leopard
Lizardfolk scout
Lizardfolk warrior
Orc warrior
Plague zombie
Quasit
Rat swarm
Reefclaw
Riding dog
Riding horse
Sewer ooze
War pony
Water mephit
Wolf
Xulgath warrior
Animated armor
Blue shark
Boar
Bugbear thug
Caligni creeper
Choker
Crocodile
Deinonychus
Giant bat
Giant viper
Gnoll warrior
Gray ooze
Kobold dragon mage
Lemure
Lizardfolk druid
Mummy guard
Orc warchief
Panther
Pteranodon
Sahuagin warrior
Serpentfolk
Sinspawn
Skeletal champion
Sloth demon
Vargouille
War horse
Warg
Wererat rogue
Zombie brute
